batch,emergency_stop,batch_change,labeling_error,inventory_shortage,product_spill,machine_adjustment,machine_failure,batch_coding_error,conveyor_belt_jam,calibration_error,label_switch,other,total_downtime
422111,,60,,,,,15,,,,,,75
422112,,20,,,,,,20,,,,,40
422113,,50,,,,,,,,,,,50
422114,,,,25,,15,,,,,,,40
422115,,,,,,,,,,24,,,24
422116,,,,,,,,,,,,,0
422117,,10,,,,5,,,,,,,15
422118,,,,,,14,16,,,,10,20,60
422119,,,,25,,,,,,,,,25
422120,,,,20,15,,,,17,,,,52
422121,,,,,,,15,,,,,,15
422122,,,,,,,25,,,,,,25
422123,,,,43,,,30,,,,,,73
422124,,,,,20,20,,,,,,,40
422125,,,,,,,,,,,10,10,20
422126,,,,,,,,44,,,,,44
422127,,,,,,23,,,,,,,23
422128,,,,,22,,30,,,,,,52
422129,,,,,,,,,,,,15,15
422130,,20,,,,,,,,,,,20
422131,,,,20,,,,,,10,,,30
422132,,,,,,,,,,,,,0
422133,,,,,,,20,,,,,,20
422134,,,,,,,30,20,,,,,50
422135,,,,30,,,,,,,,15,45
422136,,,,,,,,,,,,,0
422137,,,,,,,,30,,15,,,45
422138,,,20,,,,,,,,,,20
422139,,,,20,,15,,,,,,,35
422140,,,,,,50,,,,,13,,63
422141,,,,,,,,,,,,7,7
422142,,,,,,30,,,,,,,30
422143,,,,,,40,18,,,,,,58
422144,,,,,,30,,24,,,,,54
422145,,,22,,,,,,,,,,22
422146,,,,,,30,25,,,,,7,62
422147,,,,17,,60,30,,,,,,107
422148,,,,25,,,,7,,,,,32
