sr_no,production_date,product,batch,operator_name,start_time,end_time,actual_production_time_mins,min_batch_time_mins,production_variance_mins,production_efficiency
1,29-08-2024,OR-600,422111,Mac,11:50:00,14:05:00,135,60,75,44.4
2,29-08-2024,LE-600,422112,Mac,14:05:00,15:45:00,100,60,40,60
3,29-08-2024,LE-600,422113,Mac,15:45:00,17:35:00,110,60,50,54.5
4,29-08-2024,LE-600,422114,Mac,17:35:00,19:15:00,100,60,40,60
5,29-08-2024,LE-600,422115,Charlie,19:15:00,20:39:00,84,60,24,71.4
6,29-08-2024,LE-600,422116,Charlie,20:39:00,21:39:00,60,60,0,100
7,29-08-2024,LE-600,422117,Charlie,21:39:00,22:54:00,75,60,15,80
8,30-08-2024,CO-600,422118,Dee,04:05:00,06:05:00,120,60,60,50
9,30-08-2024,CO-600,422119,Dee,06:05:00,07:30:00,85,60,25,70.6
10,30-08-2024,CO-600,422120,Dee,07:30:00,09:22:00,112,60,52,53.6
11,30-08-2024,CO-600,422121,Dennis,09:22:00,10:37:00,75,60,15,80
12,30-08-2024,CO-600,422122,Dennis,10:37:00,12:02:00,85,60,25,70.6
13,30-08-2024,CO-600,422123,Dennis,12:02:00,14:15:00,133,60,73,45.1
14,30-08-2024,CO-600,422124,Dennis,14:15:00,15:55:00,100,60,40,60
15,30-08-2024,CO-600,422125,Charlie,15:55:00,17:15:00,80,60,20,75
16,30-08-2024,CO-600,422126,Charlie,17:15:00,18:59:00,104,60,44,57.7
17,30-08-2024,CO-600,422127,Charlie,18:59:00,20:22:00,83,60,23,72.3
18,30-08-2024,CO-600,422128,Charlie,20:22:00,22:14:00,112,60,52,53.6
19,30-08-2024,CO-600,422129,Charlie,22:14:00,23:29:00,75,60,15,80
20,31-08-2024,CO-600,422130,Dee,07:45:00,09:05:00,80,60,20,75
21,31-08-2024,CO-600,422131,Dee,09:05:00,10:35:00,90,60,30,66.7
22,31-08-2024,CO-600,422132,Dee,10:35:00,11:35:00,60,60,0,100
23,31-08-2024,DC-600,422133,Dee,11:35:00,12:55:00,80,60,20,75
24,31-08-2024,DC-600,422134,Mac,12:55:00,14:45:00,110,60,50,54.5
25,31-08-2024,DC-600,422135,Mac,14:45:00,16:30:00,105,60,45,57.1
26,31-08-2024,DC-600,422136,Mac,16:30:00,17:30:00,60,60,0,100
27,02-09-2024,CO-2L,422144,Dennis,12:18:00,14:50:00,152,98,54,64.5
28,02-09-2024,CO-2L,422145,Charlie,14:50:00,16:50:00,120,98,22,81.7
29,02-09-2024,CO-2L,422146,Charlie,16:50:00,19:30:00,160,98,62,61.3
30,02-09-2024,CO-2L,422147,Charlie,19:30:00,22:55:00,205,98,107,47.8
31,03-09-2024,CO-2L,422148,Mac,22:55:00,01:05:00,130,98,32,75.4
